ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,PRICE AFTER TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
FOXIN H/F T1,HEADPHONE,,,PCS,1,,,156.779661,185,Tax 18%,18,Inclusive,450,2,,,,,,
FOXIN IPH CABLE,CABLE,,,PCS,1,,,76.27118644,90,Tax 18%,18,Inclusive,299,2,,,,,,
FOXIN NECKBAND 107,NECKBAND,,,PCS,1,,,576.2711864,680,Tax 18%,18,Inclusive,1200,1,,,,,,
FOXIN NECKBAND 130,NECKBAND,,,PCS,1,,,550.8474576,650,Tax 18%,18,Inclusive,1200,1,,,,,,
FOXIN NECKBAND 140,NECKBAND,,,PCS,1,,,593.220339,700,Tax 18%,18,Inclusive,1200,3,,,,,,
FOXIN NECKBAND 150,NECKBAND,,,PCS,1,,,635.5932203,750,Tax 18%,18,Inclusive,1500,1,,,,,,
FOXIN POWER BANK FPB-148 10000MAH,POWER BANK,,,PCS,1,,,592.3728814,699,Tax 18%,18,Inclusive,1200,2,,,,,,
FOXIN POWER BANK FPB-181 10000MAH,POWER BANK,,,PCS,1,,,677.1186441,799,Tax 18%,18,Inclusive,1400,2,,,,,,
FOXIN POWER BANK FPB-281 20000MAH,POWER BANK,,,PCS,1,,,1058.474576,1249,Tax 18%,18,Inclusive,2000,2,,,,,,
FOXIN POWERBANK FPB-248 20000 MAH,POWER BANK,,,PCS,1,,,974.5762712,1150,Tax 18%,18,Inclusive,1800,0,,,,,,
FOXIN TYPE C CABLE 2MTR,CABLE,,,PCS,1,,,101.6949153,120,Tax 18%,18,Inclusive,300,0,,,,,,
FOXIN TYPE C CABLE QUALITY,CABLE,,,PCS,1,,,156.7797,185,Tax 18%,18,Inclusive,450,5,,,,,,
FOXIN V8 CABLE,CABLE,,,PCS,1,,,44.91525424,53,Tax 18%,18,Inclusive,199,17,,,,,,
GIONEE 18W  C CHARGER,CHARGER,,,PCS,1,,,271.1864407,320,Tax 18%,18,Inclusive,550,3,,,,,,
GIONEE 20000MAH PB (THUNDER 110),POWER BANK,,,PCS,1,,,1058.475,1249,Tax 18%,18,Inclusive,2000,1,,,,,,
GIONEE 2A C CHARGER,CHARGER,,,PCS,1,,,122.8814,145,Tax 18%,18,Inclusive,450,4,,,,,,
GIONEE 2A CHARGER,CHARGER,,,PCS,1,,,122.8813559,145,Tax 18%,18,Inclusive,450,0,,,,,,
GIONEE 2A V8 CHARGER,CHARGER,,,PCS,1,,,105.9322034,125,Tax 18%,18,Inclusive,400,5,,,,,,
GIONEE BLISS 100 H/F,HEADPHONE,,,PCS,1,,,93.22033898,110,Tax 18%,18,Inclusive,300,1,,,,,,
GIONEE BT NECKBAND 110,NECKBAND,,,PCS,1,,,584.7457627,690,Tax 18%,18,Inclusive,1400,2,,,,,,
GIONEE BT NECKBAND 115,NECKBAND,,,PCS,1,,,504.2372881,595,Tax 18%,18,Inclusive,1500,1,,,,,,
GIONEE BT NECKBAND 310,NECKBAND,,,PCS,1,,,610.1694915,720,Tax 18%,18,Inclusive,1600,1,,,,,,
GIONEE BUDDS,AIR PODS,,,PCS,1,,,1008.474576,1190,Tax 18%,18,Inclusive,2400,3,,,,,,
GIONEE BUDDS NUCLEUS 201,AIR PODS,,,PCS,1,,,805.0847458,950,Tax 18%,18,Inclusive,1800,1,,,,,,
GIONEE C TYPE CABLE,CABLE,,,PCS,1,,,76.27119,90,Tax 18%,18,Inclusive,350,6,,,,,,
GIONEE H/F EP 1,HEADPHONE,,,PCS,1,,,139.8305085,165,Tax 18%,18,Inclusive,350,1,,,,,,
GIONEE H/F EP 108,HEADPHONE,,,PCS,1,,,139.8305085,165,Tax 18%,18,Inclusive,400,2,,,,,,
GIONEE H/F EP 112,HEADPHONE,,,PCS,1,,,148.3050847,175,Tax 18%,18,Inclusive,450,1,,,,,,
GIONEE H/F EP 8,HEADPHONE,,,PCS,1,,,122.8813559,145,Tax 18%,18,Inclusive,350,0,,,,,,
GIONEE IPH CABLE,CABLE,,,PCS,1,,,76.27118644,90,Tax 18%,18,Inclusive,350,9,,,,,,
GIONEE V8 CABLE,CABLE,,,PCS,1,,,76.27119,90,Tax 18%,18,Inclusive,350,3,,,,,,
GO-HIPODS,AIR PODS,,,PCS,1,,,741.5254237,875,Tax 18%,18,Inclusive,2000,1,,,,,,
GO-TANGO,AIR PODS,,,PCS,1,,,741.5254237,875,Tax 18%,18,Inclusive,2000,1,,,,,,
H/F CONNECTOR CABLE,CABLE,,,PCS,1,,,50.84745763,60,Tax 18%,18,Inclusive,199,0,,,,,,
IPH PB CABLE,CABLE,,,PCS,1,,,25.42372881,30,Tax 18%,18,Inclusive,89,3,,,,,,
KIOXIA 16GB PENDRIVE METAL,PENDRIVE,,,PCS,1,,,233.0508475,275,Tax 18%,18,Inclusive,500,0,,,,,,
KIOXIA 64GB PENDRIVE METAL,PENDRIVE,,,PCS,1,,,383.8983051,453,Tax 18%,18,Inclusive,900,2,,,,,,
KIOXIA 64GB PENDRIVE WHITE,PENDRIVE,,,PCS,1,,,366.1016949,432,Tax 18%,18,Inclusive,800,3,,,,,,
KIXN C CABLE(04C),CABLE,,,PCS,1,,,76.27118644,90,Tax 18%,18,Inclusive,299,1,,,,,,
KIXN H/F 02,HEADPHONE,,,PCS,1,,,84.74576271,100,Tax 18%,18,Inclusive,399,0,,,,,,
KIXN V8 CABLE(01),CABLE,,,PCS,1,,,42.37288136,50,Tax 18%,18,Inclusive,199,2,,,,,,
LARGE BT SPEAKER,BT SPEAKER,,,PCS,1,,,423.7288136,500,Tax 18%,18,Inclusive,1000,1,,,,,,
MAFE 1.5A CHARGER,CHARGER,,,PCS,1,,,97.45762712,115,Tax 18%,18,Inclusive,250,10,,,,,,
MAFE 10000 MAH POWER BANK,POWER BANK,,,PCS,1,,,466.1016949,550,Tax 18%,18,Inclusive,1000,2,,,,,,
MAFE 20000MAH POWER BANK,POWER BANK,,,PCS,1,,,966.1016949,1140,Tax 18%,18,Inclusive,2200,1,,,,,,
MAFE ACE PLUS,KEYPAD MOBILE,,,PCS,1,,,733.0508475,865,Tax 18%,18,Inclusive,1500,1,,,,,,
MAFE ALPHA 1 CHARGER,CHARGER,,,PCS,1,,,105.9322034,125,Tax 18%,18,Inclusive,450,0,,,,,,
MAFE AMAZE,KEYPAD MOBILE,,,PCS,1,,,716.1017,845,Tax 18%,18,Inclusive,1400,2,,,,,,
MAFE AUX CABLE,CABLE,,,PCS,1,,,46.61016949,55,Tax 18%,18,Inclusive,200,0,,,,,,
MAFE C TYPE CABLE,CABLE,,,PCS,1,,,46.61016949,55,Tax 18%,18,Inclusive,200,12,,,,,,
MAFE EARPHONE UNO,HEADPHONE,,,PCS,1,,,46.61016949,55,Tax 18%,18,Inclusive,200,0,,,,,,
MAFE FOXYBRO BUDS,AIR PODS,,,PCS,1,,,665.2542373,785,Tax 18%,18,Inclusive,1800,2,,,,,,
MAFE INBEAT PULSE WATCH,SMART WATCH,,,PCS,1,,,1525.423729,1800,Tax 18%,18,Inclusive,2800,1,,,,,,
MAFE JIO BATTERY,BATTERY,,,PCS,1,,,122.8813559,145,Tax 18%,18,Inclusive,350,5,,,,,,
MAFE M-500 BT NECKBAND,NECKBAND,,,PCS,1,,,338.9831,400,Tax 18%,18,Inclusive,900,2,,,,,,
MAFE M-600 BT NECKBAND,NECKBAND,,,PCS,1,,,338.9831,400,Tax 18%,18,Inclusive,900,1,,,,,,
MAFE M-700 BT NECKBAND,NECKBAND,,,PCS,1,,,338.9831,400,Tax 18%,18,Inclusive,900,2,,,,,,
MAFE NITRO PLUS,KEYPAD MOBILE,,,PCS,1,,,766.9491525,905,Tax 18%,18,Inclusive,1500,0,,,,,,
MAFE PLAYON NECKBAND,NECKBAND,,,PCS,1,,,338.9830508,400,Tax 18%,18,Inclusive,900,5,,,,,,
MAFE POCKET H/F,HEADPHONE,,,PCS,1,,,29.66101695,35,Tax 18%,18,Inclusive,150,22,,,,,,
MAFE TUNE POLY H/P,HEADPHONE,,,PCS,1,,,33.05084746,39,Tax 18%,18,Inclusive,200,0,,,,,,
MAFE V8 CABLE,CABLE,,,PCS,1,,,33.05084746,39,Tax 18%,18,Inclusive,150,14,,,,,,
MAFE VIRA+,KEYPAD MOBILE,,,PCS,1,,,995.7627119,1175,Tax 18%,18,Inclusive,1850,3,,,,,,
MAFE X1+,KEYPAD MOBILE,,,PCS,1,,,644.0677966,760,Tax 18%,18,Inclusive,1200,6,,,,,,
MAFE X4,KEYPAD MOBILE,,,PCS,1,,,716.1016949,845,Tax 18%,18,Inclusive,1400,4,,,,,,
MAFE X7,KEYPAD MOBILE,,,PCS,1,,,724.5762712,855,Tax 18%,18,Inclusive,1800,5,,,,,,
MEDIUM BT SPEAKER,BT SPEAKER,,,PCS,1,,,262.7118644,310,Tax 18%,18,Inclusive,600,3,,,,,,
MFX 708,KEYPAD MOBILE,,,PCS,1,,,982.2033898,1159,Tax 18%,18,Inclusive,1700,4,,,,,,
MI 27W ADAPTER,CHARGER,,,PCS,1,,,211.8644068,250,Tax 18%,18,Inclusive,600,3,,,,,,
MI SONIC NECK BAND,NECKBAND,,,PCS,1,,,614.4067797,725,Tax 18%,18,Inclusive,1599,2,,,,,,
MICROMAX J2,KEYPAD MOBILE,,,PCS,1,,,690.6779661,815,Tax 18%,18,Inclusive,1300,1,,,,,,
MICROMAX MFX 413,KEYPAD MOBILE,,,PCS,1,,,650,767,Tax 18%,18,Inclusive,1300,7,,,,,,
MICROMAX MFX 513+,KEYPAD MOBILE,,,PCS,1,,,862.7118644,1018,Tax 18%,18,Inclusive,1600,4,,,,,,
MICROMAX MFX 778,KEYPAD MOBILE,,,PCS,1,,,1100.847458,1299,Tax 18%,18,Inclusive,1800,7,,,,,,
MICROMAX MFX J22,KEYPAD MOBILE,,,PCS,1,,,898.3050847,1060,Tax 18%,18,Inclusive,1800,1,,,,,,
MICROMAX S115,KEYPAD MOBILE,,,PCS,1,,,733.8983051,866,Tax 18%,18,Inclusive,1400,8,,,,,,
MICROMAX S211,KEYPAD MOBILE,,,PCS,1,,,950,1121,Tax 18%,18,Inclusive,1700,2,,,,,,
MICROMAX SMART IN 2B 4/64,MOBILE,,,PCS,1,,,6859.322034,8094,Tax 18%,18,Inclusive,10499,1,,,,,,
MICROMAX SMART IN 2C 3/32,MOBILE,,,PCS,1,,,6052.542373,7142,Tax 18%,18,Inclusive,10499,1,,,,,,
MICROMAX X379+,KEYPAD MOBILE,,,PCS,1,,,816.1016949,963,Tax 18%,18,Inclusive,1500,0,,,,,,
MICROMAX X416,KEYPAD MOBILE,,,PCS,1,,,778.8135593,919,Tax 18%,18,Inclusive,1350,2,,,,,,
MICROMAX X702,KEYPAD MOBILE,,,PCS,1,,,914.4067797,1079,Tax 18%,18,Inclusive,1800,3,,,,,,
MICROMAX X809,KEYPAD MOBILE,,,PCS,1,,,1066.949153,1259,Tax 18%,18,Inclusive,1800,7,,,,,,
MINI BT SPEAKER,BT SPEAKER,,,PCS,1,,,169.4915254,200,Tax 18%,18,Inclusive,500,8,,,,,,
NOKIA 105 DOUBLE SIM CHARCOAL,KEYPAD MOBILE,,,PCS,1,,,1146.610169,1353,Tax 18%,18,Inclusive,1750,3,,,,,,
NOKIA 105 PLUS DOUBLE SIM,KEYPAD MOBILE,,,PCS,1,,,1185.59322,1399,Tax 18%,18,Inclusive,1800,0,,,,,,
NOKIA 105 PLUS SINGLE SIM,KEYPAD MOBILE,,,PCS,1,,,1063.559322,1255,Tax 18%,18,Inclusive,1700,3,,,,,,
NOKIA 110TA-1302,KEYPAD MOBILE,,,PCS,1,,,1333.898305,1574,Tax 18%,18,Inclusive,2100,1,,,,,,
NOKIA 150,KEYPAD MOBILE,,,PCS,1,,,2066.949153,2439,Tax 18%,18,Inclusive,3000,3,,,,,,
NOKIA C20 2/32,MOBILE,,,PCS,1,,,6778.813559,7999,Tax 18%,18,Inclusive,9500,1,,,,,,
NOKIA C31(4+64GB),MOBILE,,,PCS,1,,,9041.525424,10669,Tax 18%,18,Inclusive,13000,1,,,,,,
NOKIA CO1 PLUS 2/16,MOBILE,,,PCS,1,,,4045.762712,4774,Tax 18%,18,Inclusive,6500,5,,,,,,
NORMAL 4C/5C BATTERY,BATTERY,,,PCS,1,,,67.79661017,80,Tax 18%,18,Inclusive,199,13,,,,,,
NORMAL ANDROID BATTERY,BATTERY,,,PCS,1,,,296.6101695,350,Tax 18%,18,Inclusive,850,3,,,,,,
NORMAL AUX CABLE,CABLE,,,PCS,1,,,21.18644068,25,Tax 18%,18,Inclusive,100,10,,,,,,
NORMAL C TYPE CABLE,CABLE,,,PCS,1,,,33.89830508,40,Tax 18%,18,Inclusive,200,44,,,,,,
NORMAL GLASS,GLASS,,,PCS,1,,,10.16949153,12,Tax 18%,18,Inclusive,100,331,,,,,,
normal hf,HEADPHONE,,,PCS,1,,,21.18644068,25,Tax 18%,18,Inclusive,150,43,,,,,,
NORMAL KEYPAD CHARGER,CHARGER,,,PCS,1,,,33.89830508,40,Tax 18%,18,Inclusive,100,48,,,,,,
NORMAL NECK BAND,NECKBAND,,,PCS,1,,,296.6101695,350,Tax 18%,18,Inclusive,850,1,,,,,,
NORMAL V8 CABLE,CABLE,,,PCS,1,,,29.66101695,35,Tax 18%,18,Inclusive,149,35,,,,,,
ONE PLUS 65W CHARGER,CHARGER,,,PCS,1,,,487.2881356,575,Tax 18%,18,Inclusive,1999,2,,,,,,
ONE PLUS DASH USP ADAPTER,CHARGER,,,PCS,1,,,114.4067797,135,Tax 18%,18,Inclusive,999,5,,,,,,
OPPO/REALME  A16/1A6K/A15/A15S/C11/C12/C15/NARZO 20/30A QUALITY COMBO,COMBO,,,PCS,1,,,847.4576271,1000,Tax 18%,18,Inclusive,2000,0,,,,,,
OPPO/REALME A1K/RLME C2 NORMAL COMBO,COMBO,,,PCS,1,,,593.220339,700,Tax 18%,18,Inclusive,2000,0,,,,,,
OPPO/REALME F19/F19S/F19 PRO/A74 RLME X7/RLMR 8-4G/RLME 8PRO 4G/RLME 7 PRO QUALITY COMBO,COMBO,,,PCS,1,,,1101.694915,1300,Tax 18%,18,Inclusive,2500,0,,,,,,
POCO M3/ MI 9POWER NORMAL COMBO,COMBO,,,PCS,1,,,720.3389831,850,Tax 18%,18,Inclusive,2200,0,,,,,,
PORT 1274 60W WIRELESS SOUNDBAR,SOUNDBAR,,,PCS,1,,,2713.559322,3202,Tax 18%,18,Inclusive,4500,1,,,,,,
PORT 1427 KORONOS SMRT WATCH,SMART WATCH,,,PCS,1,,,2432.20339,2870,Tax 18%,18,Inclusive,4000,1,,,,,,
PORT - MOBILE HOLDER,MOBILE HOLDER,,,PCS,1,,,93.22034,110,Tax 18%,18,Inclusive,550,1,,,,,,
PORT- TYPE C RED DASH CABLE,CABLE,,,PCS,1,,,93.22033898,110,Tax 18%,18,Inclusive,550,0,,,,,,
PORT-102 SOUND BAR WIRELESS,SOUNDBAR,,,PCS,1,,,6455.932203,7618,Tax 18%,18,Inclusive,9100,1,,,,,,
PORT-1104 ADAPTER ONE QC CHARGER,CHARGER,,,PCS,1,,,169.4915,200,Tax 18%,18,Inclusive,999,3,,,,,,
POTRONICS CTYPE CABLE,CABLE,,,PCS,1,,,63.55932203,75,Tax 18%,18,Inclusive,450,4,,,,,,
PREMIUM POUCH,BACK CASE,,,PCS,1,,,169.4915254,200,Tax 18%,18,Inclusive,400,0,,,,,,
REAL ME BOOM B/H/F,HEADPHONE,,,PCS,1,,,466.1016949,550,Tax 18%,18,Inclusive,1499,1,,,,,,
REDMI MI NOTE7/NOTE 7PRO NORMAL COMBO,COMBO,,,PCS,1,,,720.3389831,850,Tax 18%,18,Inclusive,2000,0,,,,,,
REDMI MI8/MI 8A QUALITY COMBO,COMBO,,,PCS,1,,,805.0847458,950,Tax 18%,18,Inclusive,2000,0,,,,,,
REDMI/POCO 9A/C3/9I/9/POCO 31 NORMAL COMBO,COMBO,,,PCS,1,,,635.5932203,750,Tax 18%,18,Inclusive,2000,0,,,,,,
RIVANO AIR BUDDS,AIR PODS,,,PCS,1,,,720.3389831,850,Tax 18%,18,Inclusive,1800,1,,,,,,
RIVANO HF-03A,HEADPHONE,,,PCS,1,,,93.22033898,110,Tax 18%,18,Inclusive,499,1,,,,,,
RIVANO HF-26,HEADPHONE,,,PCS,1,,,93.22034,110,Tax 18%,18,Inclusive,499,2,,,,,,
RIVIERA CTO C CABLE,CABLE,,,PCS,1,,,101.6949153,120,Tax 18%,18,Inclusive,499,1,,,,,,
RIVIRA  TYPE C TO  IPH CABLE,CABLE,,,PCS,1,,,101.6949153,120,Tax 18%,18,Inclusive,400,1,,,,,,
RMC WIRED BOOM H/F,HEADPHONE,,,PCS,1,,,203.3898305,240,Tax 18%,18,Inclusive,1499,1,,,,,,
S8  PRO SMART  WATCH,SMART WATCH,,,PCS,1,,,338.9830508,400,Tax 18%,18,Inclusive,1000,0,,,,,,
SAMSUNG  M30/A30 QUALITY COMBO,COMBO,,,PCS,1,,,974.5762712,1150,Tax 18%,18,Inclusive,2000,0,,,,,,
SAMSUNG 25W ADAPTER,CHARGER,,,PCS,1,,,364.4068,430,Tax 18%,18,Inclusive,1699,2,,,,,,
SAMSUNG 32INCH SMART TV,TV,,,PCS,1,,,12542.37288,14800,Tax 18%,18,Inclusive,18000,0,,,,,,
SAMSUNG 64GB MEMORY CARD,MEMORY CARD,,,PCS,1,,,364.4067797,430,Tax 18%,18,Inclusive,1200,1,,,,,,
SAMSUNG A03 3+32GB,MOBILE,,,PCS,1,,,7980.254237,9416.7,Tax 18%,18,Inclusive,12999,1,,,,,,
SAMSUNG A03 CORE 2/32,MOBILE,,,PCS,1,,,6383.898305,7533,Tax 18%,18,Inclusive,8999,1,,,,,,
SAMSUNG A04 (4+64GB),MOBILE,,,PCS,1,,,9576.694915,11300.5,Tax 18%,18,Inclusive,14000,1,,,,,,
SAMSUNG A04E (3+64GB),MOBILE,,,PCS,1,,,7980.254237,9416.7,Tax 18%,18,Inclusive,12000,0,,,,,,
SAMSUNG A12/M12 NORMAL COMBO,COMBO,,,PCS,1,,,805.0847458,950,Tax 18%,18,Inclusive,2000,0,,,,,,
SAMSUNG A13 6/128,MOBILE,,,PCS,1,,,13965.50847,16479.3,Tax 18%,18,Inclusive,18000,1,,,,,,
SAMSUNG A14 5G(6+128GB),MOBILE,,,PCS,1,,,15163.22034,17892.6,Tax 18%,18,Inclusive,20000,1,,,,,,
SAMSUNG A14 5G(8+128GB),MOBILE,,,PCS,1,,,16758.72881,19775.3,Tax 18%,18,Inclusive,22000,1,,,,,,
SAMSUNG A23 5G 8/128,MOBILE,,,PCS,1,,,19951.52542,23542.8,Tax 18%,18,Inclusive,25500,1,,,,,,
SAMSUNG A23 6/128,MOBILE,,,PCS,1,,,15561.94915,18363.1,Tax 18%,18,Inclusive,23990,1,,,,,,
SAMSUNG J7/J7 NEXT NORMAL COMBO,COMBO,,,PCS,1,,,635.5932203,750,Tax 18%,18,Inclusive,2000,0,,,,,,
SAMSUNG TYPE C TO C CHARGER,CHARGER,,,PCS,1,,,419.4915254,495,Tax 18%,18,Inclusive,1800,0,,,,,,
SGM 2.4A V8 CHARGER,CHARGER,,,PCS,1,,,110.1694915,130,Tax 18%,18,Inclusive,400,1,,,,,,
SGM 5C BATTERY,BATTERY,,,PCS,1,,,101.6949153,120,Tax 18%,18,Inclusive,300,4,,,,,,
SGM BT SPEAKER,SPEAKER,,,PCS,1,,,296.6102,350,Tax 18%,18,Inclusive,700,0,,,,,,
SGM JIO BATTERY,BATTERY,,,PCS,1,,,152.5423729,180,Tax 18%,18,Inclusive,350,4,,,,,,
SGM MEDIUM BT SPEAKER,BT SPEAKER,,,PCS,1,,,296.6101695,350,Tax 18%,18,Inclusive,700,0,,,,,,
SGM TYPE C CHARGER,CHARGER,,,PCS,1,,,211.8644068,250,Tax 18%,18,Inclusive,500,9,,,,,,
SMART WATCH GLASS,GLASS,,,PCS,1,,,46.61016949,55,Tax 18%,18,Inclusive,200,0,,,,,,
SS CH53 V8 DUAL USB CHARGER,CHARGER,,,PCS,1,,,127.1186441,150,Tax 18%,18,Inclusive,439.2,0,,,,,,
ST CTYPE HF,HEADPHONE,,,PCS,1,,,203.3898305,240,Tax 18%,18,Inclusive,600,2,,,,,,
STAND,STAND,,,PCS,1,,,8.474576271,10,Tax 18%,18,Inclusive,50,0,,,,,,
TAB FLIP,BACK CASE,,,PCS,1,,,254.2372881,300,Tax 18%,18,Inclusive,700,0,,,,,,
TECNO 8C (3+64GB),MOBILE,,,PCS,1,,,6355.932203,7500,Tax 18%,18,Inclusive,10990,1,,,,,,
TECNO POVA NEO(6+128GB),MOBILE,,,PCS,1,,,8388.983051,9899,Tax 18%,18,Inclusive,13000,0,,,,,,
TECNO SPARK 8P(4+64GB),MOBILE,,,PCS,1,,,7457.627119,8800,Tax 18%,18,Inclusive,12000,1,,,,,,
TECNO SPARK GO 2022,MOBILE,,,PCS,1,,,5649.152542,6666,Tax 18%,18,Inclusive,9499,1,,,,,,
V8 OTG CABLE,CABLE,,,PCS,1,,,38.13559322,45,Tax 18%,18,Inclusive,99,0,,,,,,
V8 OTG CONNECTOR,CONNECTOR,,,PCS,1,,,21.18644068,25,Tax 18%,18,Inclusive,99,6,,,,,,
V8 PB CABLE,CABLE,,,PCS,1,,,25.42372881,30,Tax 18%,18,Inclusive,80,6,,,,,,
VIVO 27 PRO 8/256,MOBILE,,,PCS,1,,,32594.0678,38461,Tax 18%,18,Inclusive,40500,0,,,,,,
VIVO V25(8+128GB),MOBILE,,,PCS,1,,,22815.25424,26922,Tax 18%,18,Inclusive,29000,0,,,,,,
VIVO Y 100 5G(8+128GB),MOBILE,,,PCS,1,,,20338.13559,23999,Tax 18%,18,Inclusive,29999,1,,,,,,
VIVO Y01(2+32GB),MOBILE,,,PCS,1,,,6516.949153,7690,Tax 18%,18,Inclusive,10000,1,,,,,,
VIVO Y02 (3+32GB),MOBILE,,,PCS,1,,,7333.050847,8653,Tax 18%,18,Inclusive,11000,1,,,,,,
VIVO Y16(3+64GB),MOBILE,,,PCS,1,,,8555.084746,10095,Tax 18%,18,Inclusive,12000,2,,,,,,
VIVO Y16(4+64GB),MOBILE,,,PCS,1,,,10184.74576,12018,Tax 18%,18,Inclusive,14000,1,,,,,,
